name,description,LookAt/latitude,LookAt/longitude,LookAt/altitude,longitude,latitude,altitude
Marseille Provence,Modern Astronomical Observatory,43.305306,5.395,0,5.395,43.305306,0
Meudon Obs. Meudon,Modern Astronomical Observatory [162 meters AMSL],48.805,2.23166666666667,162,2.23166666666667,48.805,162
Millimeter Radio Ast. Inst. R Gap/Plateau de Bure,Modern Astronomical Observatory [2552 meters AMSL],44.6333333333333,5.90666666666667,2552,5.90666666666667,44.6333333333333,2552
Obs. of Haute-Provence Forcalquier/St. Michel,Modern Astronomical Observatory [665 meters AMSL],43.9316666666667,5.71333333333333,665,5.71333333333333,43.9316666666667,665
Odeillo Solar Obs.,Modern Astronomical Observatory,42.493959,2.029316,0,2.029316,42.493959,0
Paris Obs. Paris,Modern Astronomical Observatory [67 meters AMSL],48.8366666666667,2.33666666666667,67,2.33666666666667,48.8366666666667,67
Paris Obs. Radio Ast. Sta. R Nan�ay,Modern Astronomical Observatory [150 meters AMSL],47.38,2.19666666666667,150,2.19666666666667,47.38,150
Pic du Midi Obs. Bagn�res-de-Bigorre,Modern Astronomical Observatory [2861 meters AMSL],42.9366666666667,0.145,2861,0.145,42.9366666666667,2861
Strasbourg Obs. Strasbourg,Modern Astronomical Observatory [142 meters AMSL],48.5833333333333,7.77,142,7.77,48.5833333333333,142
Toulouse Univ. Obs. Toulouse,Modern Astronomical Observatory [195 meters AMSL],43.6116666666667,1.46333333333333,195,1.46333333333333,43.6116666666667,195
Abastumani Astrophysical Obs. R Abastumani/Mt.  Kanobili,Modern Astronomical Observatory [1583 meters AMSL],41.755,42.8216666666667,1583,42.8216666666667,41.755,1583
Archenhold Obs. Berlin,Modern Astronomical Observatory [41 meters AMSL],52.4866666666667,13.4783333333333,41,13.4783333333333,52.4866666666667,41
Bochum Obs. Bochum,Modern Astronomical Observatory [132 meters AMSL],51.465,7.22333333333333,132,7.22333333333333,51.465,132
Central Inst. for Earth Physics Potsdam,Modern Astronomical Observatory [91 meters AMSL],52.3816666666667,13.0666666666667,91,13.0666666666667,52.3816666666667,91
Einstein Tower Solar Obs. R Potsdam,Modern Astronomical Observatory [100 meters AMSL],52.38,13.065,100,13.065,52.38,100
European Southern Obs. Headquarters,Modern Astronomical Observatory,48.26,11.671,0,11.671,48.26,0
Friedrich Schiller Univ. Obs. Jena,Modern Astronomical Observatory [356 meters AMSL],50.93,11.4866666666667,356,11.4866666666667,50.93,356
G�ttingen Univ. Obs. G�ttingen,Modern Astronomical Observatory [159 meters AMSL],51.53,9.94333333333333,159,9.94333333333333,51.53,159
Hamburg Obs. Bergedorf,Modern Astronomical Observatory [45 meters AMSL],53.4816666666667,10.2416666666667,45,10.2416666666667,53.4816666666667,45
Hoher List Obs. Daun/Hoher List,Modern Astronomical Observatory [533 meters AMSL],50.1633333333333,6.85,533,6.85,50.1633333333333,533
Inst. of Geodesy Ast. Obs. Hannover,Modern Astronomical Observatory [71 meters AMSL],52.3883333333333,9.71333333333333,71,9.71333333333333,52.3883333333333,71
Karl Schwarzschild Obs. Tautenburg,Modern Astronomical Observatory [331 meters AMSL],50.9816666666667,11.7133333333333,331,11.7133333333333,50.9816666666667,331
Lohrmann Obs. Dresden,Modern Astronomical Observatory [324 meters AMSL],51.05,13.8716666666667,324,13.8716666666667,51.05,324
Max Planck Inst. for Radio Ast. R Effelsberg,Modern Astronomical Observatory [369 meters AMSL],50.5266666666667,6.885,369,6.885,50.5266666666667,369
Munich Univ. Obs. Munich,Modern Astronomical Observatory [529 meters AMSL],48.145,11.6083333333333,529,11.6083333333333,48.145,529
Potsdam Astrophysical Obs. Potsdam,Modern Astronomical Observatory [107 meters AMSL],52.3816666666667,13.0666666666667,107,13.0666666666667,52.3816666666667,107
Remeis Obs. Bamberg,Modern Astronomical Observatory [288 meters AMSL],49.885,10.89,288,10.89,49.885,288
Schauinsland Obs. Freiburg/Schauinsland Mtn.,Modern Astronomical Observatory [1240 meters AMSL],47.915,7.90666666666667,1240,7.90666666666667,47.915,1240
Sonneberg Obs. Sonneberg,Modern Astronomical Observatory [640 meters AMSL],50.3783333333333,11.1916666666667,640,11.1916666666667,50.3783333333333,640
State Obs. Heidelberg/K�nigstuhl,Modern Astronomical Observatory [570 meters AMSL],49.3983333333333,8.72166666666667,570,8.72166666666667,49.3983333333333,570
Stockert Radio Obs. R Eschweiler,Modern Astronomical Observatory [435 meters AMSL],50.57,6.72333333333333,435,6.72333333333333,50.57,435
Stuttgart Obs. Welzheim,Modern Astronomical Observatory [547 meters AMSL],48.875,9.59666666666667,547,9.59666666666667,48.875,547
Swabian Obs. Stuttgart,Modern Astronomical Observatory [354 meters AMSL],48.7833333333333,9.19666666666667,354,9.19666666666667,48.7833333333333,354
Tremsdorf Radio Ast. Obs. R Tremsdorf,Modern Astronomical Observatory [35 meters AMSL],52.285,13.1366666666667,35,13.1366666666667,52.285,35
T�bingen Univ. Ast. Obs. T�bingen,Modern Astronomical Observatory [470 meters AMSL],48.5383333333333,9.05833333333333,470,9.05833333333333,48.5383333333333,470
Wendelstein Solar Obs. Brannenburg,Modern Astronomical Observatory [1838 meters AMSL],47.7083333333333,12.0133333333333,1838,12.0133333333333,47.7083333333333,1838
Wilhelm Foerster Obs. Berlin,Modern Astronomical Observatory [78 meters AMSL],52.4583333333333,13.3533333333333,78,13.3533333333333,52.4583333333333,78
Kryonerion Ast. Obs. Ki�ton/Mt. Killini,Modern Astronomical Observatory [905 meters AMSL],37.9733333333333,22.6216666666667,905,22.6216666666667,37.9733333333333,905
National Obs. of Athens Athens,Modern Astronomical Observatory [110 meters AMSL],37.9733333333333,23.72,110,23.72,37.9733333333333,110
National Obs. Sta. R Pentele,Modern Astronomical Observatory [509 meters AMSL],38.0483333333333,23.8633333333333,509,23.8633333333333,38.0483333333333,509
Stephanion Obs. Stephanion,Modern Astronomical Observatory [800 meters AMSL],37.755,22.8283333333333,800,22.8283333333333,37.755,800
Univ. of Thessalon�ki Obs. Thessalon�ki,Modern Astronomical Observatory [28 meters AMSL],40.6166666666667,22.9583333333333,28,22.9583333333333,40.6166666666667,28
Incoherent Scatter Facility R S�ndre Str�mfjord,Modern Astronomical Observatory [180 meters AMSL],66.9866666666667,-50.95,180,-50.95,66.9866666666667,180
Heliophysical Obs. Debrecen,Modern Astronomical Observatory [132 meters AMSL],47.56,21.6233333333333,132,21.6233333333333,47.56,132
Heliophysical Obs. Sta. Gyula,Modern Astronomical Observatory [135 meters AMSL],46.6533333333333,21.27,135,21.27,46.6533333333333,135
Konkoly Obs. Budapest,Modern Astronomical Observatory [474 meters AMSL],47.5,18.965,474,18.965,47.5,474
Konkoly Obs. Sta. Piszk�stet�,Modern Astronomical Observatory [958 meters AMSL],47.9183333333333,19.895,958,19.895,47.9183333333333,958
Urania Obs. Budapest,Modern Astronomical Observatory [166 meters AMSL],47.485,19.065,166,19.065,47.485,166
Gauribidanur Radio Obs. R Gauribidanur,Modern Astronomical Observatory [686 meters AMSL],13.6033333333333,77.435,686,77.435,13.6033333333333,686
Gurushikhar Infrared Obs. I Abu,Modern Astronomical Observatory [1700 meters AMSL],24.6516666666667,72.78,1700,72.78,24.6516666666667,1700
Indian Ast. Obs. Hanle/Mt. Saraswati,Modern Astronomical Observatory [4467 meters AMSL],32.78,78.965,4467,78.965,32.78,4467
Japal-Rangapur Obs. R Japal,Modern Astronomical Observatory [695 meters AMSL],17.0983333333333,78.7283333333333,695,78.7283333333333,17.0983333333333,695
Kodaikanal Solar Obs. Kodaikanal,Modern Astronomical Observatory [2343 meters AMSL],10.23,77.4683333333333,2343,77.4683333333333,10.23,2343
National Centre for Radio Aph. Khodad,Modern Astronomical Observatory [650 meters AMSL],19.1,74.05,650,74.05,19.1,650
Nizamiah Obs. Hyderabad,Modern Astronomical Observatory [554 meters AMSL],17.4316666666667,78.4533333333333,554,78.4533333333333,17.4316666666667,554
Radio Ast. Center R Udhagamandalam (Ooty),Modern Astronomical Observatory [2150 meters AMSL],11.3816666666667,76.6666666666667,2150,76.6666666666667,11.3816666666667,2150
Uttar Pradesh State Obs. Naini Tal/Manora Peak,Modern Astronomical Observatory [1927 meters AMSL],29.3616666666667,79.4566666666667,1927,79.4566666666667,29.3616666666667,1927
Vainu Bappu Obs. Kavalur,Modern Astronomical Observatory [725 meters AMSL],12.5766666666667,78.8266666666667,725,78.8266666666667,12.5766666666667,725
Bosscha Obs. Lembang (Java),Modern Astronomical Observatory [1300 meters AMSL],-6.825,107.616666666667,1300,107.616666666667,-6.825,1300
Dunsink Obs. Castleknock,Modern Astronomical Observatory [85 meters AMSL],53.3883333333333,-6.33666666666667,85,-6.33666666666667,53.3883333333333,85
Florence and George Wise Obs. Mitzpe Ramon/Mt. Zin,Modern Astronomical Observatory [874 meters AMSL],30.5966666666667,34.7633333333333,874,34.7633333333333,30.5966666666667,874
Arcetri Astrophysical Obs. Arcetri,Modern Astronomical Observatory [184 meters AMSL],43.7533333333333,11.255,184,11.255,43.7533333333333,184
Asiago Astrophysical Obs. Asiago,Modern Astronomical Observatory [1045 meters AMSL],45.8616666666667,11.5283333333333,1045,11.5283333333333,45.8616666666667,1045
Bologna Univ. Obs. Loiano,Modern Astronomical Observatory [785 meters AMSL],44.2583333333333,11.3366666666667,785,11.3366666666667,44.2583333333333,785
Brera-Milan Ast. Obs. Merate,Modern Astronomical Observatory [340 meters AMSL],45.7,9.42833333333333,340,9.42833333333333,45.7,340
Brera-Milan Ast. Obs. Milan,Modern Astronomical Observatory [146 meters AMSL],45.4666666666667,9.19166666666667,146,9.19166666666667,45.4666666666667,146
Cagliari Ast. Obs. L Capoterra,Modern Astronomical Observatory [205 meters AMSL],39.1366666666667,8.97666666666667,205,8.97666666666667,39.1366666666667,205
Capodimonte Ast. Obs. Naples,Modern Astronomical Observatory [150 meters AMSL],40.8633333333333,14.255,150,14.255,40.8633333333333,150
Catania Astrophysical Obs. Catania,Modern Astronomical Observatory [47 meters AMSL],37.5033333333333,15.0866666666667,47,15.0866666666667,37.5033333333333,47
Catania Obs. Stellar Sta. Catania/Serra la Nave,Modern Astronomical Observatory [1735 meters AMSL],37.6916666666667,14.9733333333333,1735,14.9733333333333,37.6916666666667,1735
Chaonis Obs. Chions,Modern Astronomical Observatory [15 meters AMSL],45.8433333333333,12.7116666666667,15,12.7116666666667,45.8433333333333,15
Collurania Ast. Obs. Teramo,Modern Astronomical Observatory [388 meters AMSL],42.6583333333333,13.7333333333333,388,13.7333333333333,42.6583333333333,388
Damecuta Obs. Anacapri,Modern Astronomical Observatory [137 meters AMSL],40.5583333333333,14.1966666666667,137,14.1966666666667,40.5583333333333,137
International Latitude Obs. Carloforte,Modern Astronomical Observatory [22 meters AMSL],39.1372222222222,8.31166666666667,22,8.31166666666667,39.1372222222222,22
Medicina Radio Ast. Sta. R Medicina,Modern Astronomical Observatory [44 meters AMSL],44.52,11.645,44,11.645,44.52,44
Mount Ekar Obs. Asiago/Mt. Ekar,Modern Astronomical Observatory [1350 meters AMSL],45.8433333333333,11.5716666666667,1350,11.5716666666667,45.8433333333333,1350
Padua Ast. Obs. Padua,Modern Astronomical Observatory [38 meters AMSL],45.4,11.8716666666667,38,11.8716666666667,45.4,38
Palermo Univ. Ast. Obs. Palermo,Modern Astronomical Observatory [72 meters AMSL],38.1116666666667,13.3583333333333,72,13.3583333333333,38.1116666666667,72
Rome Obs. Rome/Monte Mario,Modern Astronomical Observatory [152 meters AMSL],41.9216666666667,12.4516666666667,152,12.4516666666667,41.9216666666667,152
San Vittore Obs. Bologna,Modern Astronomical Observatory [280 meters AMSL],44.4683333333333,11.3416666666667,280,11.3416666666667,44.4683333333333,280
Trieste Ast. Obs. R Trieste,Modern Astronomical Observatory [400 meters AMSL],45.643269,13.875405,400,13.875405,45.643269,400
Turin Ast. Obs. Pino Torinese,Modern Astronomical Observatory [622 meters AMSL],45.0383333333333,7.775,622,7.775,45.0383333333333,622
Dodaira Obs. L Tokyo/Mt. Dodaira,Modern Astronomical Observatory [879 meters AMSL],36.0033333333333,139.196666666667,879,139.196666666667,36.0033333333333,879
